id,name,season,team,mp,ws,ws48
dampier01,Erick Dampier,2012,ATL,83,0.1,.035
sloando01,Donald Sloan,2012,ATL,20,0.0,.012
horfoal01,Al Horford,2011,ATL,2704,10.1,.179
smithjo03,Josh Smith,2011,ATL,2645,6.4,.116
johnsjo02,Joe Johnson,2011,ATL,2554,4.2,.080
crawfja01,Jamal Crawford,2011,ATL,2297,3.4,.071
willima02,Marvin Williams,2011,ATL,1865,4.0,.102
bibbymi01,Mike Bibby,2011,ATL,1674,3.1,.089
pachuza01,Zaza Pachulia,2011,ATL,1244,3.1,.118
teaguje01,Jeff Teague,2011,ATL,963,1.7,.083
evansma01,Maurice Evans,2011,ATL,837,0.9,.050
hinriki01,Kirk Hinrich,2011,ATL,686,0.7,.050
wilkida02,Damien Wilkins,2011,ATL,676,1.5,.104
poweljo01,Josh Powell,2011,ATL,653,-0.2,-0.012
collija04,Jason Collins,2011,ATL,593,0.6,.049
crawfjo02,Jordan Crawford,2011,ATL,160,-0.3,-0.090
thomaet01,Etan Thomas,2011,ATL,82,0.2,.130
armsthi01,Hilton Armstrong,2011,ATL,76,0.1,.054
sypa01,Pape Sy,2011,ATL,21,0.0,-0.047
johnsjo02,Joe Johnson,2010,ATL,2886,8.4,.140
smithjo03,Josh Smith,2010,ATL,2871,9.3,.155
horfoal01,Al Horford,2010,ATL,2845,10.9,.183
willima02,Marvin Williams,2010,ATL,2468,5.7,.112
crawfja01,Jamal Crawford,2010,ATL,2460,7.3,.143
bibbymi01,Mike Bibby,2010,ATL,2195,4.8,.104
evansma01,Maurice Evans,2010,ATL,1317,3.1,.114
pachuza01,Zaza Pachulia,2010,ATL,1089,2.7,.121
teaguje01,Jeff Teague,2010,ATL,719,0.6,.042
smithjo02,Joe Smith,2010,ATL,592,0.9,.077
westma02,Mario West,2010,ATL,142,0.3,.106
morrira01,Randolph Morris,2010,ATL,124,0.3,.108
collija04,Jason Collins,2010,ATL,115,-0.1,-0.044
hunteot01,Othello Hunter,2010,ATL,33,0.0,-0.031
johnsjo02,Joe Johnson,2009,ATL,3124,7.6,.116
bibbymi01,Mike Bibby,2009,ATL,2740,6.9,.121
smithjo03,Josh Smith,2009,ATL,2421,4.9,.097
horfoal01,Al Horford,2009,ATL,2242,6.8,.145
willima02,Marvin Williams,2009,ATL,2093,6.1,.140
murraro01,Ronald Murray,2009,ATL,1975,3.1,.076
evansma01,Maurice Evans,2009,ATL,1840,3.8,.099
pachuza01,Zaza Pachulia,2009,ATL,1473,3.9,.127
jonesso01,Solomon Jones,2009,ATL,675,1.9,.138
lawac01,Acie Law,2009,ATL,560,0.7,.062
westma02,Mario West,2009,ATL,269,0.4,.080
gardnth01,Thomas Gardner,2009,ATL,98,-0.2,-0.120
hunteot01,Othello Hunter,2009,ATL,92,0.2,.092
morrira01,Randolph Morris,2009,ATL,89,0.0,-0.013
claxtsp01,Speedy Claxton,2009,ATL,15,0.0,-0.083
johnsjo02,Joe Johnson,2008,ATL,3343,7.0,.100
smithjo03,Josh Smith,2008,ATL,2873,5.8,.097
willima02,Marvin Williams,2008,ATL,2765,5.7,.099
horfoal01,Al Horford,2008,ATL,2540,5.5,.103
childjo01,Josh Childress,2008,ATL,2274,7.6,.160
johnsan02,Anthony Johnson,2008,ATL,1121,1.8,.077
bibbymi01,Mike Bibby,2008,ATL,1100,1.7,.076
pachuza01,Zaza Pachulia,2008,ATL,944,1.1,.054
lawac01,Acie Law,2008,ATL,865,-0.1,-0.007
luety01,Tyronn Lue,2008,ATL,564,1.0,.081
willish02,Shelden Williams,2008,ATL,414,0.5,.060
stoudsa01,Salim Stoudamire,2008,ATL,402,0.3,.031
westma02,Mario West,2008,ATL,269,0.5,.082
wrighlo02,Lorenzen Wright,2008,ATL,148,0.1,.028
jonesso01,Solomon Jones,2008,ATL,145,0.0,.000
richaje01,Jeremy Richardson,2008,ATL,88,-0.1,-0.037
smithjo03,Josh Smith,2007,ATL,2647,4.4,.079
johnsjo02,Joe Johnson,2007,ATL,2359,5.1,.105
willima02,Marvin Williams,2007,ATL,2179,2.3,.051
pachuza01,Zaza Pachulia,2007,ATL,2026,4.8,.114
childjo01,Josh Childress,2007,ATL,2024,5.5,.130
willish02,Shelden Williams,2007,ATL,1514,2.2,.070
luety01,Tyronn Lue,2007,ATL,1488,2.5,.081
claxtsp01,Speedy Claxton,2007,ATL,1054,-0.7,-0.034
wrighlo02,Lorenzen Wright,2007,ATL,1035,0.7,.033
stoudsa01,Salim Stoudamire,2007,ATL,1034,0.8,.036
johnsan02,Anthony Johnson,2007,ATL,739,0.4,.026
jonesso01,Solomon Jones,2007,ATL,666,1.6,.117
iveyro01,Royal Ivey,2007,ATL,539,0.3,.030
bozemce01,Cedric Bozeman,2007,ATL,199,-0.3,-0.077
freijma01,Matt Freije,2007,ATL,147,-0.1,-0.034
medvest01,Stanislav Medvedenko,2007,ATL,81,0.2,.107
batises01,Esteban Batista,2007,ATL,81,0.2,.101
thompdi01,Dijon Thompson,2007,ATL,50,0.1,.064
richaje01,Jeremy Richardson,2007,ATL,19,0.0,.105
johnsjo02,Joe Johnson,2006,ATL,3340,6.0,.086
harrial01,Al Harrington,2006,ATL,2782,3.8,.065
smithjo03,Josh Smith,2006,ATL,2559,3.6,.067
pachuza01,Zaza Pachulia,2006,ATL,2452,3.9,.077
childjo01,Josh Childress,2006,ATL,2249,5.7,.121
willima02,Marvin Williams,2006,ATL,1952,2.8,.069
stoudsa01,Salim Stoudamire,2006,ATL,1236,1.2,.046
luety01,Tyronn Lue,2006,ATL,1234,2.7,.104
iveyro01,Royal Ivey,2006,ATL,978,0.7,.034
batises01,Esteban Batista,2006,ATL,495,0.1,.011
edwarjo01,John Edwards,2006,ATL,296,0.2,.026
smithdo04,Donta Smith,2006,ATL,127,0.3,.104
grundan01,Anthony Grundy,2006,ATL,108,0.2,.095
thomajo02,John Thomas,2006,ATL,66,0.0,-0.023
delkto01,Tony Delk,2006,ATL,7,0.0,.171
harrial01,Al Harrington,2005,ATL,2550,1.6,.030
childjo01,Josh Childress,2005,ATL,2376,4.6,.093
walkean02,Antoine Walker,2005,ATL,2128,0.2,.004
smithjo03,Josh Smith,2005,ATL,2050,2.4,.055
luety01,Tyronn Lue,2005,ATL,1528,3.2,.100
drobnpr01,Predrag Drobnjak,2005,ATL,1435,1.0,.032
delkto01,Tony Delk,2005,ATL,1340,2.1,.074
diawbo01,Boris Diaw,2005,ATL,1201,0.1,.005
collija02,Jason Collier,2005,ATL,942,0.0,.000
iveyro01,Royal Ivey,2005,ATL,809,0.2,.009
guglito01,Tom Gugliotta,2005,ATL,748,0.3,.022
ekeziob01,Obinna Ekezie,2005,ATL,732,0.7,.043
anderke01,Kenny Anderson,2005,ATL,717,0.2,.016
smithdo04,Donta Smith,2005,ATL,433,0.2,.026
willike02,Kevin Willis,2005,ATL,344,0.0,.004
